time,mma_peak_area,bmdo_peak_area,A1,A2,M1,M2,f1,f2,c1,c2,0.65
137.6333333,6.677903186,0.536604687,6.677903186,0.536604687,0.959625845,0.944312777,0.504021419,0.495978581,0.862100163,-0.661794319,0.655227844
137.7166667,6.711083376,0.543695216,6.711083376,0.543695216,0.964393894,0.956790635,0.501978794,0.498021206,0.861414986,-0.683752758,0.652572433
137.8,6.661887681,0.539988903,6.661887681,0.539988903,0.95732439,0.950268293,0.501849477,0.498150523,0.862430886,-0.67227479,0.65240432
137.8833333,6.687129172,0.539031614,6.687129172,0.539031614,0.960951635,0.948583664,0.503238477,0.496761523,0.861909644,-0.669310193,0.65421002
137.9666667,6.713109479,0.539180888,6.713109479,0.539180888,0.964685048,0.948846355,0.504138603,0.495861397,0.861373147,-0.669772475,0.655380184
138.05,6.731167492,0.53981499,6.731167492,0.53981499,0.967280015,0.949962243,0.504516323,0.495483677,0.861000246,-0.671736206,0.65587122
138.1333333,6.691078732,0.547897389,6.691078732,0.547897389,0.961519193,0.964185586,0.499307684,0.500692316,0.861828085,-0.696766334,0.649099989
138.2166667,6.714596132,0.538527093,6.714596132,0.538527093,0.964898683,0.947695813,0.50449726,0.49550274,0.861342447,-0.667747759,0.655846438
138.3,6.699051594,0.541628375,6.699051594,0.541628375,0.962664907,0.953153424,0.502482355,0.497517645,0.861663444,-0.677352022,0.653227062
138.3833333,6.69313353,0.537813596,6.69313353,0.537813596,0.961814471,0.946440204,0.504028358,0.495971642,0.861785653,-0.66553815,0.655236866
138.4666667,6.713831876,0.535475422,6.713831876,0.535475422,0.964788858,0.942325505,0.505889357,0.494110643,0.861358229,-0.658297133,0.657656164
138.55,6.680541412,0.541047301,6.680541412,0.541047301,0.960004963,0.952130854,0.502058983,0.497941017,0.862045683,-0.675552511,0.652676677
138.6333333,6.743076298,0.542062018,6.743076298,0.542062018,0.96899133,0.953916545,0.503919789,0.496080211,0.860754327,-0.678694955,0.655095725
138.7166667,6.722724145,0.542560932,6.722724145,0.542560932,0.966066692,0.95479453,0.502934143,0.497065857,0.861174602,-0.680240026,0.653814386
138.8,6.714998087,0.541956627,6.714998087,0.541956627,0.964956445,0.953731079,0.502925272,0.497074728,0.861334147,-0.678368575,0.653802853
138.8833333,6.709017637,0.53968818,6.709017637,0.53968818,0.964097044,0.949739084,0.503751094,0.496248906,0.861457644,-0.671343492,0.654876423
138.9666667,6.686579181,0.540995221,6.686579181,0.540995221,0.9608726,0.952039205,0.502308887,0.497691113,0.861921002,-0.675391227,0.653001553
139.05,6.664050613,0.540375095,6.664050613,0.540375095,0.957635207,0.950947911,0.501751901,0.498248099,0.862386221,-0.673470777,0.652277471
139.1333333,6.714443247,0.540773534,6.714443247,0.540773534,0.964876713,0.951649081,0.50345094,0.49654906,0.861345604,-0.67470469,0.654486222
139.2166667,6.681277854,0.541076254,6.681277854,0.541076254,0.960110791,0.952181806,0.502073162,0.497926838,0.862030475,-0.675642176,0.652695111
139.3,6.716279575,0.540083124,6.716279575,0.540083124,0.965140597,0.950434103,0.503838664,0.496161336,0.861307684,-0.672566581,0.654990263
139.3833333,6.677254886,0.537038632,6.677254886,0.537038632,0.959532684,0.94507643,0.503795071,0.496204929,0.86211355,-0.66313819,0.654933592
139.4666667,6.633483304,0.538910965,6.633483304,0.538910965,0.953242634,0.948371348,0.501280829,0.498719171,0.863017441,-0.66893656,0.651665078
