time,mma_peak_area,bmdo_peak_area,A1,A2,M1,M2,f1,f2,c1,c2,
9.133333333,5.16153215,0.65243922,5.16153215,0.65243922,1.022490076,1.004716315,0.504383806,0.495616194,0.797446587,-0.547201399,
9.216666667,5.052170191,0.658539202,5.052170191,0.658539202,1.000825672,1.014109913,0.496703557,0.503296443,0.801738266,-0.561666962,
9.3,5.092218915,0.65425482,5.092218915,0.65425482,1.008759251,1.007512228,0.50030924,0.49969076,0.800166638,-0.551506932,
9.383333333,5.093729941,0.655521838,5.093729941,0.655521838,1.009058582,1.009463358,0.499899735,0.500100265,0.800107341,-0.554511553,
9.466666667,5.066920644,0.655775986,5.066920644,0.655775986,1.003747709,1.00985473,0.498483559,0.501516441,0.801159415,-0.555114242,
9.55,5.051240576,0.654265393,5.051240576,0.654265393,1.000641516,1.00752851,0.498285256,0.501714744,0.801774746,-0.551532006,
9.633333333,5.057343438,0.655002005,5.057343438,0.655002005,1.001850482,1.008662847,0.498305815,0.501694185,0.801535252,-0.553278816,
9.716666667,5.044045907,0.650047247,5.044045907,0.650047247,0.999216266,1.001032824,0.499545917,0.500454083,0.802057086,-0.541529049,
9.8,5.030151158,0.651113316,5.030151158,0.651113316,0.996463741,1.002674504,0.49844664,0.50155336,0.802602356,-0.544057135,
9.883333333,5.085106632,0.653289275,5.085106632,0.653289275,1.00735032,1.006025348,0.500329042,0.499670958,0.800445745,-0.549217229,
9.966666667,5.136659465,0.651095052,5.136659465,0.651095052,1.017562842,1.002646379,0.503691812,0.496308188,0.798422663,-0.544013824,
10.05,5.065736079,0.650112365,5.065736079,0.650112365,1.003513049,1.001133101,0.500593608,0.499406392,0.801205901,-0.541683469,
10.13333333,5.065671114,0.652993537,5.065671114,0.652993537,1.00350018,1.00556993,0.499484899,0.500515101,0.80120845,-0.548515913,
10.21666667,5.093562965,0.652513666,5.093562965,0.652513666,1.009025504,1.004830958,0.501041421,0.498958579,0.800113894,-0.547377942,
10.3,5.11047656,0.65009877,5.11047656,0.65009877,1.012376057,1.001112166,0.502797109,0.497202891,0.799450155,-0.54165123,
10.38333333,5.070810134,0.652097539,5.070810134,0.652097539,1.00451821,1.004190148,0.50008166,0.49991834,0.80100678,-0.546391134,
10.46666667,5.029924788,0.654124068,5.029924788,0.654124068,0.996418898,1.007310877,0.497282074,0.502717926,0.802611239,-0.551196865,
10.55,5.068963031,0.650351306,5.068963031,0.650351306,1.004152302,1.001501056,0.500660943,0.499339057,0.801079266,-0.542250097,
10.63333333,5.098559796,0.652005864,5.098559796,0.652005864,1.010015367,1.004048974,0.501481182,0.498518818,0.799917804,-0.546173735,
10.71666667,5.055531164,0.654752842,5.055531164,0.654752842,1.001491474,1.008279151,0.49831133,0.50168867,0.801606371,-0.552687948,
10.8,5.088806083,0.652616747,5.088806083,0.652616747,1.008083175,1.004989695,0.500768348,0.499231652,0.800300567,-0.547622387,
10.88333333,5.070853257,0.652890381,5.070853257,0.652890381,1.004526753,1.005411076,0.499780012,0.500219988,0.801005088,-0.548271287,
10.96666667,5.039747119,0.653502345,5.039747119,0.653502345,0.998364684,1.006353463,0.498007506,0.501992494,0.802225783,-0.549722506,
11.05,5.052214713,0.655071255,5.052214713,0.655071255,1.000834491,1.008769487,0.498025732,0.501974268,0.801736518,-0.553443034,
11.13333333,5.092747875,0.651892239,5.092747875,0.651892239,1.008864037,1.003873999,0.501239614,0.498760386,0.80014588,-0.545904283,
11.21666667,5.136819097,0.656561297,5.136819097,0.656561297,1.017594465,1.011064061,0.501609538,0.498390462,0.798416398,-0.556976537,
11.3,5.084397781,0.652131923,5.084397781,0.652131923,1.007209898,1.004243097,0.500737477,0.499262523,0.800473562,-0.546472672,
11.38333333,5.1346817,0.653992458,5.1346817,0.653992458,1.017171051,1.007108206,0.502485538,0.497514462,0.798500276,-0.550884764,
11.46666667,5.156395915,0.654991277,5.156395915,0.654991277,1.021472597,1.008646326,0.503158995,0.496841005,0.797648147,-0.553253374,
11.55,5.117177214,0.656508874,5.117177214,0.656508874,1.013703444,1.010983332,0.500671736,0.499328264,0.799187202,-0.55685222,
11.63333333,5.121063991,0.652276771,5.121063991,0.652276771,1.014473407,1.004466154,0.502478344,0.497521656,0.799034674,-0.546816166,
11.71666667,5.104138759,0.652957628,5.104138759,0.652957628,1.01112055,1.005514631,0.501389919,0.498610081,0.799698869,-0.548430757,
11.8,5.069439986,0.651946851,5.069439986,0.651946851,1.004246786,1.003958097,0.500071877,0.499928123,0.801060549,-0.54603379,
11.88333333,5.142985024,0.652008544,5.142985024,0.652008544,1.018815924,1.004053101,0.503648981,0.496351019,0.798174429,-0.546180089,
11.96666667,5.134806597,0.651065257,5.134806597,0.651065257,1.017195792,1.002600497,0.503613061,0.496386939,0.798495375,-0.543943169,
12.05,5.134251684,0.651723771,5.134251684,0.651723771,1.017085865,1.003614567,0.503333324,0.496666676,0.798517151,-0.545504775,
12.13333333,5.155110096,0.649842157,5.155110096,0.649842157,1.021217878,1.000716998,0.505069619,0.494930381,0.797698607,-0.541042697,
12.21666667,5.126684439,0.651862416,5.126684439,0.651862416,1.015586808,1.003828073,0.502911421,0.497088579,0.798814111,-0.54583356,
12.3,5.171238739,0.650340713,5.171238739,0.650340713,1.024412933,1.001484744,0.505658773,0.494341227,0.797065672,-0.542224977,
12.38333333,5.131500816,0.652724494,5.131500816,0.652724494,1.016540923,1.00515562,0.502815779,0.497184221,0.798625103,-0.547877901,
12.46666667,5.086847585,0.651346953,5.086847585,0.651346953,1.0076952,1.003034291,0.501159009,0.498840991,0.800377425,-0.544611186,
12.55,5.102290897,0.651969011,5.102290897,0.651969011,1.010754492,1.003992223,0.501678193,0.498321807,0.799771384,-0.546086341,
12.63333333,5.158784815,0.65084134,5.158784815,0.65084134,1.021945833,1.002255678,0.504863684,0.495136316,0.7975544,-0.54341217,
12.71666667,5.082882467,0.649791967,5.082882467,0.649791967,1.006909717,1.000639709,0.501561608,0.498438392,0.800533027,-0.540923675,
12.8,5.087781467,0.650447628,5.087781467,0.650447628,1.0078802,1.001649385,0.501550317,0.498449683,0.800340776,-0.542478516,
12.88333333,5.126631196,0.649764137,5.126631196,0.649764137,1.01557626,1.000596852,0.503714812,0.496285188,0.798816201,-0.540857679,
12.96666667,5.137110592,0.649821712,5.137110592,0.649821712,1.01765221,1.000685514,0.504203136,0.495796864,0.798404959,-0.540994213,
13.05,5.11905383,0.650956525,5.11905383,0.650956525,1.014075198,1.002433056,0.502886708,0.497113292,0.799113559,-0.543685321,
13.13333333,5.177132379,0.651725601,5.177132379,0.651725601,1.025580452,1.003617386,0.505411761,0.494588239,0.796834389,-0.545509116,
13.21666667,5.142977187,0.652536251,5.142977187,0.652536251,1.018814371,1.004865737,0.503446353,0.496553647,0.798174737,-0.5474315,
13.3,5.158132937,0.648637076,5.158132937,0.648637076,1.021816698,0.998861247,0.505680136,0.494319864,0.797579982,-0.538184953,
13.38333333,5.150153691,0.6511483,5.150153691,0.6511483,1.020236024,1.002728378,0.504327225,0.495672775,0.79789311,-0.544140098,
13.46666667,5.144907817,0.648846325,5.144907817,0.648846325,1.019196826,0.999183478,0.504957774,0.495042226,0.798098974,-0.53868117,
13.55,5.124962081,0.653919702,5.124962081,0.653919702,1.015245612,1.006996166,0.502039678,0.497960322,0.798881702,-0.55071223,
13.63333333,5.12801228,0.650105385,5.12801228,0.650105385,1.015849851,1.001122353,0.503650893,0.496349107,0.798762003,-0.541666918,
13.71666667,5.115281213,0.653461442,5.115281213,0.653461442,1.01332785,1.006290475,0.501742254,0.498257746,0.799261607,-0.549625508,
13.8,5.090105764,0.649713207,5.090105764,0.649713207,1.008340639,1.000518423,0.50194693,0.49805307,0.800249564,-0.540736902,
13.88333333,5.094168364,0.652857346,5.094168364,0.652857346,1.009145433,1.005360204,0.500939493,0.499060507,0.800090136,-0.548192948,
13.96666667,5.154147015,0.652618892,5.154147015,0.652618892,1.021027094,1.004992999,0.503957042,0.496042958,0.797736401,-0.547627475,
14.05,5.126367421,0.651410694,5.126367421,0.651410694,1.015524007,1.003132449,0.503069259,0.496930741,0.798826552,-0.544762342,
14.13333333,5.082814758,0.648415286,5.082814758,0.648415286,1.006896304,0.998519704,0.502088494,0.497911506,0.800535684,-0.537658998,
14.21666667,5.124735668,0.652231724,5.124735668,0.652231724,1.01520076,1.004396784,0.502674784,0.497325216,0.798890587,-0.546709341,
14.3,5.139105843,0.654629454,5.139105843,0.654629454,1.018047465,1.008089141,0.502457466,0.497542534,0.79832666,-0.552395343,
14.38333333,5.119963865,0.650737437,5.119963865,0.650737437,1.014255474,1.002095674,0.503015298,0.496984702,0.799077846,-0.543165772,
14.46666667,5.137692653,0.64913783,5.137692653,0.64913783,1.017767515,0.999632377,0.504494681,0.495505319,0.798382117,-0.539372446,
14.55,5.086016781,0.651189761,5.086016781,0.651189761,1.007530619,1.002792225,0.501178516,0.498821484,0.800410028,-0.544238419,
